ID;S16;S17;S18;S19;S20;S21;S22;IN16;IN17;IN18;IN19;IN20;IN21;IN22;SP16;SP17;SP18;SP19;SP20;SP21;SP22
Andir;0.7971;0.8147;0.9005;0.9584;0.9273;0.931;0.8975;0.7034;1.445;1.713;0.6383;0.4006;1.733;0.6158;0.7006;0.4786;0.6149;0.5145;1.099;0.798;0.5834
Antapani;0.8741;0.8935;0.9876;1.051;1.017;1.021;0.9843;0.8248;1.107;0.3596;0.608;1.949;1.286;0.838;1.459;1.656;1.419;1.572;2.096;1.743;1.554
Arcamanik;0.9643;0.9856;1.089;1.159;1.122;1.126;1.086;1.124;0.7013;0.7585;0.9423;1.409;1.626;0.9834;1.696;1.189;1.15;1.992;2.197;1.147;1.64
Astana Anyar;0.9843;1.006;1.112;1.183;1.145;1.15;1.108;1.993;0.7322;0.7964;1.728;1.234;0.585;0.7578;0.6482;1.005;0.955;0.9355;1.275;0.8611;0.6542
Babakan Ciparay;0.7649;0.7819;0.8642;0.9198;0.89;0.8934;0.8613;0.6845;1.09;0.4736;1.632;1.165;1.055;0.2347;0.3943;0.1948;0.5743;0.5815;0.7519;0.6493;0.4005
Bandung Kidul;0.8283;0.8467;0.9358;0.9358;0.9637;0.9675;0.9327;1.875;0.3062;1.037;1.489;0.3175;0.3586;1.827;1.695;1.862;1.054;1.372;1.58;1.199;1.29
Bandung Kulon;0.9136;0.9338;1.032;1.098;1.063;1.067;1.029;1.247;1.292;0.5951;0.5249;0.4043;1.393;1.518;0.6039;0.2622;0.3572;0.4376;0.07076;0.5378;0.4195
Bandung Wetan;1.328;1.357;1.5;1.596;1.545;1.551;1.495;1.038;1.242;2.523;0.7003;1.201;1.485;1.85;0.8245;0.996;1.001;1.339;2.23;1.195;1.049
Batununggal;0.7591;0.776;0.8577;0.9128;0.8832;0.8867;0.8548;0.5246;0.814;0.9539;0.5786;0.5754;1.451;1.135;1.116;1.513;1.173;0.9401;1.498;0.7732;0.8631
Bojongloa Kaler;0.6793;0.6944;0.7675;0.8168;0.7904;0.7934;0.7649;1.034;0.5858;1.097;0.334;0.9642;1.173;0.6364;0.357;0.2844;0.649;0.671;0.9199;0.9741;0.7222
Bojongloa Kidul;1.047;1.07;1.183;1.259;1.218;1.223;1.179;0.8624;1.145;1.384;1.711;1.259;0.8486;0.7538;0.597;0.34;0.8353;0.9609;1.036;0.9934;0.629
Buah Batu;1.078;1.102;1.217;1.296;1.254;1.259;1.213;0.878;1.423;1.25;1.21;1.065;1.208;1.086;1.939;1.839;1.155;1.648;2.384;1.251;1.392
Cibeunying Kaler;0.7038;0.7195;0.7952;0.8463;0.8189;0.8221;0.7925;1.068;0.8389;0.8216;1.018;0.9816;0.8706;0.5128;1.275;1.261;1.381;1.069;1.645;1.048;0.9384
Cibeunying Kidul;0.924;0.9445;1.044;1.111;1.075;1.079;1.04;1.567;1.991;0.9372;0.5834;1.373;0.4411;1.346;0.8422;1.293;1.678;1.039;1.136;0.7938;0.7588
Cibiru;0.9699;0.9914;1.096;1.166;1.128;1.133;1.092;0.9393;0.6724;0.9634;1.646;1.067;1.038;1.383;1.126;0.5546;1.24;1.386;1.383;0.8167;1.246
Cicendo;1.108;1.133;1.252;1.333;1.29;1.295;1.248;0.7111;1.484;1.556;1.273;1.68;1.412;1.06;0.7031;0.5214;0.8599;0.7133;1.051;0.8709;0.9001
Cidadap;0.7106;0.7263;0.8028;0.8544;0.8267;0.8299;0.8001;1.194;0.1473;1.39;1.433;1.264;1.477;0.8456;0.7616;0.3874;0.8153;1.488;1.539;0.9449;1.136
Cinambo;1.285;1.314;1.452;1.545;1.495;1.501;1.447;1.445;1.114;2.073;2.171;1.258;0.7752;1.56;0.9889;1.412;0.9773;1.546;2.059;1.068;1.361
Coblong;0.4471;0.4571;0.5052;0.5376;0.5202;0.5223;0.5035;0.07253;2.201;1.484;0.9203;1.031;2.371;1.617;1.378;1.467;1.341;1.273;2.077;1.025;1.184
Gedebage;1.386;1.417;1.566;1.667;1.613;1.619;1.561;1.125;1.367;1.03;1.507;1.965;2.075;2.218;1.604;1.078;1.2;1.669;2.276;1.221;1.858
Kiaracondong;1.46;1.493;1.65;1.756;1.699;1.706;1.644;1.254;2.008;1.512;2.269;2.3;1.381;1.18;0.9962;1.265;1.23;1.413;1.27;0.9836;0.9371
Lengkong;1.181;1.207;1.334;1.419;1.373;1.379;1.329;1.686;2.909;1.764;0.7913;1.809;1.132;0.8164;1.986;2.554;1.057;1.062;2.024;1.249;1.326
Mandalajati;0.7402;0.7566;0.8362;0.89;0.8612;0.8645;0.8334;0.6342;1.244;0.5261;1.295;0.749;0.9947;1.014;0.756;0.6952;1.214;1.198;1.534;0.9833;0.9756
Panyileukan;0.8507;0.8696;0.9611;1.023;0.9898;0.9937;0.9579;1.246;1.059;0.7678;0.8068;0.8382;0.9196;1.047;0.8204;1.222;1.087;0.1476;2.328;0.9762;1.494
Rancasari;1.003;1.025;1.133;1.206;1.167;1.172;1.13;1.021;1.238;0.9712;1.299;0.9824;0.9448;1.435;1.746;1.504;1.083;1.394;2.333;1.425;1.617
Regol;0.9841;1.006;1.112;1.183;1.145;1.149;1.108;0.9532;1.28;1.22;1.085;1.07;0.5643;1.567;1.22;1.831;0.8511;1.427;1.405;0.9647;0.8983
Sukajadi;0.7075;0.7232;0.7993;0.8506;0.8231;0.8263;0.7966;1.662;0.6198;0.3898;1.362;0.4245;1.082;0.8533;0.5971;0.5297;0.8598;1.264;1.2;1.253;1.054
Sukasari;0.835;0.8535;0.9433;1.004;0.9714;0.9752;0.9402;0.7465;0.6238;1.389;0.9352;0.7451;1.245;0.8981;0.7452;0.7663;0.9901;1.48;1.703;1.209;1.227
Sumur Bandung;1.036;1.059;1.17;1.246;1.205;1.21;1.167;1.126;1.275;1.203;1.881;0.9242;1.356;0.96;0.695;0.9475;0.9203;0.8476;2.911;1.039;0.8268
Ujung Berung;1.056;1.08;1.193;1.27;1.229;1.234;1.189;1.468;1.608;0.9051;1.051;1.231;0.8555;1.158;1.086;0.5474;0.9107;1.446;1.782;1.053;1.157
